Districts ,Confirmed Cases Per 10.000,Latitude ,Longitude,Total Confirmed Cases
Alvsjo,110,59.27786,18.00888,347
Bromma,93,59.338889,17.938889,753
Enskede-Arsta-Vantor,115,59.281755,18.051066,1183
Farsta,115,59.240278,18.097222,687
Hagersten-Liljeholmen,93,59.303268,18.005921,857
Hasselby-Vallingby,97,59.379777,17.830623,739
Kungsholmen,103,59.333016,18.033094,734
Norrmalm,110,59.336997,18.056697,806
Ostermalm,90,59.336701,18.088621,708
Rinkeby-Kista,142,59.405409,17.945848,726
Skarholmen,140,59.275407,17.902173,530
Skarpnack,113,59.268037,18.128015,525
Sodermalm,101,59.312879,18.069671,1318
Spanga-Tensta,121,59.381009,17.899786,472
