Disrtricts ,Confirmed Cases Per 10.000 people until week 31,Latitude ,Longitude,Covid - 19 Cases 
Älvsjö,110,59.27786,18.00888,347
Bromma,93,59.338889,17.938889,753
Enskede-Årsta-Vantör,115,59.281944,18.0875,1183
Farsta,115,59.240278,18.097222,687
Hägersten-Liljeholmen,93,59.301944,17.987778,857
Hässelby-Vällingby,97,59.3625,17.872222,739
Kungsholmen,103,59.33314,18.03092,734
Norrmalm,110,59.341667,18.047222,806
Östermalm,90,59.33814,18.08672,708
Rinkeby-Kista,142,59.401,17.944,726
Skärholmen,140,59.2743,17.9023,530
Skarpnäck,113,59.3575,17.87,525
Södermalm,101,59.31,18.06,1318
Spånga-Tensta,121,59.394167,17.901111,472
